code,title,url,phone,is_major
M2,"Rhein-Neckar Air",,,0
M3,"Air Norway",,,0
M4,"Mistral Air",,,0
M5,"Kenmore Air",,,0
M6,"Amerijet International",,,0
M7,MasAir,,,0
M8,"SkyJet Airlines",,,0
M9,"Motor Sich",,,0
MA,Malév,,,0
MB,"MNG Airlines",,,0
MC,"Air Mobility Command",,,0
MD,"Air Madagascar",,800-821-3388,0
ME,"Middle East Airlines",https://www.mea.com.lb/,514-954-1464,0
MF,"Xiamen Airlines",https://www.xiamenair.com/en-ca/,855-789-5557,0
MG,"Eznis Airways",,,0
MH,"Malaysia Airlines",https://www.malaysiaairlines.com/hq/en.html,"603 7843 3000",0
MI,SilkAir,https://www.singaporeair.com/en_UK/us/home#/book/bookflight,,0
MJ,"Myway Airlines",,,0
MK,"Air Mauritius",http://www.airmauritius.com/index_re.htm,800-537-1182,0
ML,"Air Mediterranee",,,0
MM,"Peach Aviation",,,0
MN,Kulula,,800-354-9822,0
MO,"Calm Air",,,0
MP,Martinair,,800-627-8462,0
MQ,"Envoy Air as American Eagle",,,0
MR,"Hunnu Air",,,0
MS,Egyptair,https://www.egyptair.com/en/Pages/default.aspx,"001 (416) 960-",0
MT,"Malta MedAir",,"1 855 7593665",0
MU,"China Eastern Airlines",https://ca.ceair.com/en/,416-926-8998,1
MV,"Air Mediterranean",,,0
MW,"Mokulele Flight Service",http://www.mokuleleairlines.com/,1-808-495-4188,0
MX,"Breeze Airways",https://www.flybreeze.com/home,501-273-3931,0
MY,MASwings,,,0
MZ,"Merpati Nusantara Airlines",,,0
N0,"Norse Atlantic Airways",https://flynorse.com,,0
N1,N1,,,0
N2,"Jet Charter",,,0
N3,"Vuela El Salvador",,,0
N4,"Nordwind Airlines",,,0
N5,"Skagway Air Service",https://owg.com/en/,,0
N6,"Nomad Aviation",,,0
N7,"Nordic Regional Airlines",http://www.neptuneair.com/,,0
N8,"National Airlines",,,0
N9,Novair,,,0
NA,"Nesma Air",,,0
NB,"Sterling Airlines",,,0
NC,"National Jet Systems",,,0
ND,"FMI Air",,,0
NE,"Nesma Air",,,0
NF,"Air Vanuatu",,800-677-4277,0
NG,"Lauda Air",,,0
NH,"All Nippon Airways",https://www.ana.co.jp/en/ca/,844-728-0647,1
NI,Portugalia,,,0
NJ,"Nordic Global Airlines",,,0
NK,"Spirit Airlines",https://www.spirit.com/,855-728-3555,0
NL,Amelia,,,0
NM,"Air Madrid",,,0
NN,"VIM Airlines",,,0
NO,"Neos Air",,,0
NP,"Nile Air",,,0
NQ,"Air Japan",,,0
NR,"Manta Air",,,0
NS,"Hebei Airlines",,,0
NT,"Binter Canarias",,"902 391 392",0
NU,"Japan Transocean Air",,,0
NV,"Nakanihon Airlines",,,0
NW,"Northwest Airlines",,800-225-2525,0
NX,"Air Macau",,,0
NY,"Air Iceland Connect",,,0
NZ,"Air New Zealand",https://www.airnewzealand.ca/,866‑351‑9528,1
O1,"Orbit Airlines Azerbaijan",,,0
O2,"Linear Air",,,0
O3,"Orange Air",,,0
O4,Orange2Fly,,,0
O5,"Comores Aviation",,,0
O6,"Avianca Brazil",,,0
O7,"Orenburzhye Airline",,,0
O8,"Siam Air",,,0
O9,"NOVA Airways",,,0
OA,"Olympic Air",https://www.olympicair.com/en,1-800-223-1226,0
OB,"Boliviana de Aviación",https://www.boa.bo/BoAWebSite/,800-584-4099,0
OC,"Oriental Air Bridge",,,0
OD,"Malindo Air",,,0
OE,LaudaMotion,,,0
OF,"Overland Airways",,,0
OG,Play,,,0
OH,Comair,,,0
OI,"Hinterland Aviation",,,0
OJ,NyxAir,,,0
OK,"Czech Airlines",https://www.csa.cz/ca-fr/,1-855-359-2932,0
OL,"Samoa Airways",,,0
OM,"MIAT Mongolian Airlines",,,0
ON,"Nauru Air Corporation",,,0
OO,SkyWest,,,0
OP,PassionAir,,,0
OQ,"Chongqing Airlines",,,0
OR,"TUI fly Netherlands",,,0
OS,"Austrian Airlines",https://www.austrian.com/ca/en/homepage,"800-843 0002",0
OT,"Aeropelican Air Services",,,0
OU,"Croatia Airlines",http://www.croatiaairlines.com/,888-462-7628,0
OV,SalamAir,,800-397-1354,0
OW,"Skyward Express Limited",,,0
OX,"Canarian Airways",,,0
OY,"Andes Líneas Aéreas",,,0
OZ,"Asiana Airlines",https://flyasiana.com/,800-227-4262,0
P0,"Proflight Zambia",,,0
P1,"Regional Sky",,,0
P2,"Air Kenya",,,0
P3,Cargologicair,,,0
P4,"Air Peace Limited",,,0
P5,"Wingo airlines",,"1 800 359 2672",0
P6,"Pascan Aviation",,,0
P7,"Small Planet Airline",,,0
P8,"Sprint Air",,,0
P9,"Peruvian Airlines",,,0
PA,Airblue,,,0
PB,"PAL Airlines",https://www.palairlines.ca/en/,800-563-2800,0
PC,Pegasus,https://www.flypgs.com/fr,"011 90 850 250",0
PD,"Porter Airlines",https://www.flyporter.com/en-ca/,888-619-8622,0
PE,"People’s Viennaline PE",,,0
PF,"Primera Air",,,0
PG,"Bangkok Airways",https://www.bangkokair.com/eng/,866-226-4565,0
PH,"Polynesian Airlines",,,0
PI,"Polar Airlines",,,0
PJ,"Air Saint Pierre",,,0
PK,"Pakistan International Airlines",,1-800-221-2552,0
PL,"Southern Air Charter",,,0
PM,"Canary Fly",,,0
PN,"West Air China",,,0
PO,"Polar Airlines",,,0
PP,"Air Indus",,,0
PQ,"SkyUp Airlines",,,0
PR,"Philippine Airlines",https://www.philippineairlines.com/en,800-435-9725,0
PS,"Ukraine International Airlines",https://www.flyuia.com/fr/fr/home,"1 8008760114",0
PT,"Red Jet Andes",,,0
PU,"Plus Ultra Lineas Aereas",,,0
PV,"St Barth Commuter",,,0
PW,"Precision Air",,,0
PX,"Air Niugini",,,0
PY,"Surinam Airways",,"305 599 1196",0
PZ,"LATAM Paraguay",,"1 888 235 9826",0
Q2,Maldivian,,,0
Q3,"Anguilla Air Services",,,0
Q4,Euroairlines,,,0
Q5,"40-Mile Air",,,0
Q6,"Volaris Costa Rica",,1-800-122-8000,0
Q7,"Sky Bahamas",,,0
Q8,"Trans Air Congo",,,0
Q9,"Green Africa Airways",,,0
QA,"Click (Mexicana)",,,0
QB,"Qeshm Air",,,0
QC,Camair-co,,,0
QD,"JC International Airlines",,,0
QE,"Express Freighters Australia",,,0
QF,Qantas,https://www.qantas.com/ca/en.html,800-227-4500,1
QG,Citilink,,,0
QH,"Bamboo Airways",,,0
QI,"Ibom Air",,,0
QJ,"Jet Airways",,,0
QK,"Air Canada Jazz",,1-888-247-2262,0
QL,"Laser Air",,,0
QM,Monacair,,,0
QN,Skytrans,,,0
QO,"Origin Pacific Airways",,,0
QP,"Starlight Airline",,,0
QQ,"Alliance Airlines",,,0
QR,"Qatar Airways",https://www.qatarairways.com/,877-777-2827,1
QS,Smartwings,,,0
QT,"Avianca Cargo",,,0
QU,"Azur Air Ukraine",,,0
QV,"Lao Airlines",http://www.laoairlines.com/,,0
QW,"Qingdao Airlines",,,0
QX,"Horizon Air",,800-547-9308,0
QY,"Red Jet Canada",,,0
QZ,"Indonesia AirAsia",,,0
R0,"Tantalus Air",,,0
R2,"Orenburg Airlines",,,0
R3,"Yakutia Airlines",,,0
R4,"Real Tonga",,,0
R5,"Jordan Aviation",,,0
R6,"DAT LT",,,0
R7,"Aserca Airlines",,,0
R8,AirRussia,,,0
R9,"Suasa Airlines",,,0
RA,"Nepal Airlines",,800-266-3725,0
RB,"Syrian Arab Airlines",,,0
RC,"Atlantic Airways",,,0
RD,"Ryan International Airlines",,,0
RE,"Stobart Air",,,0
RF,"Florida West International Airways",,,0
RG,"Rotana Jet",,,0
RH,"Republic Express Airlines",,,0
RI,"Mandala Airlines",,,0
RJ,"Royal Jordanian",https://www.rj.com/en/,962.6.5100000,0
RK,"Ryanair UK",,,0
RL,"Royal Flight Airlines",,,0
RM,"Armenia Aircompany",,,0
RN,"Rayani Air",,,0
RO,Tarom,http://www.tarom.ro/fr/,"973 884 3254",0
RP,"Chautauqua Airlines",,,0
RQ,"Kam Air",,,0
RR,Buzz,,"44 8715005050",0
RS,"Air Seoul",,,0
RT,"JSC UVT Aero",,,0
RU,AirBridgeCargo,,,0
RV,"Air Canada Rouge",,1-888-247-2262,0
RW,"Royal Air Philippines",,,0
RX,"Regent Airways",,,0
RY,"Air Jiangxi",,,0
RZ,"Sansa Air",,,0
S0,"Aerolineas Sosa",,,0
S1,"Serbian Airlines",,,0
S2,"Jet Konnect",,,0
S3,"SBA Airlines",http://www.sbairlines.com/,,0
S4,"SATA Azores Airlines",https://www.azoresairlines.pt/en,"(+351) 296 209",0
S5,"Shuttle America",,,0
S6,"Sunrise Airways",,,0
S7,"S7 Airlines",https://www.s7.ru/,1-800-772-4642,0
S8,"Sounds Air",,,0
S9,"Starbow Airlines",,,0
SA,"South African Airways",https://www.flysaa.com/,902-612-2438,0
SB,Aircalin,,,0
SC,"Shandong Airlines",,0531-96777,0
SD,"Sudan Airways",,,0
SE,"XL Airways France",http://www.xl.com/,1-877-496-9889,0
SF,"Tassili Airlines",,,0
SG,Spicejet,,,0
SH,"Sharp Airlines",,,0
SI,"Blue Islands",,,0
SJ,"Sriwijaya Air",,,0
SK,SAS,https://www.flysas.com/en/,855-593-6279,0
SL,"Thai Lion Air",,,0
SM,"Air Cairo",,,0
SN,"Brussels Airlines",https://www.brusselsairlines.com/,"32 2 723 23 62",0
SO,"Salsa dHaiti",,,0
SP,"SATA Air Acores",,,0
SQ,"Singapore Airlines",https://www.singaporeair.com/,416-945-0299,1
SR,Sundair,,,0
SS,"Corsair International",https://www.corsair.fr/,"1 888-222-4346",0
ST,Germania,https://www.airthanlwin.com/,"(+95-1) 400365",0
SU,"Aeroflot Russian Airlines",https://www.aeroflot.ru/xx-en,866-221-7291,0
SV,Saudia,https://www.saudia.com/?sc_lang=en-CA&sc_country=CA,855-588-0999,0
SW,"Air Namibia",,800-626-4242,0
SX,"SkyWork Airlines",,,0
SY,"Sun Country Airlines",https://www.suncountry.com/,651-905-2737,0
SZ,"Somon Air",,,0
T0,"Avianca Peru",,,0
T2,"Thai Air Cargo",,,0
T3,"Eastern Airways",,,0
T4,"Hellas Jet",,,0
T5,"Turkmenistan Airlines",,,0
T6,Airswift,,,0
T7,"Twin Jet",,,0
T8,"Terra Avia",,,0
T9,"Turpial Airlines",,,0
TA,"Avianca El Salvador",https://www.avianca.com/ca/en/,800-284-2622,0
TB,"TUI fly Belgium",,,0
TC,"Air Tanzania",,,0
TD,"Atlantis European Airways",,,0
TE,FlyLal,,,0
TF,"Braathens Regional Aviation",,,0
TG,"Thai Airways International",https://www.thaiairways.com/,800-767-3598,0
TH,"Raya Airways",,,0
TI,"Tailwind Airlines",,,0
TJ,"Tradewind Aviation",,,0
TK,"Turkish Airlines",https://www.turkishairlines.com/en-ca/,800-874-8875,1
TL,Airnorth,,,0
TM,"LAM Mozambique Airlines",,,0
TN,"Air Tahiti Nui",https://www.airtahitinui.com/us-en,877-824-4846,0
TO,"Transavia France",,,0
TP,"TAP Portugal",https://www.flytap.com/en-ca/,800-903-7914,0
TQ,"Tandem Aero",,,0
TR,Scoot,,,0
TS,"Air Transat",https://www.airtransat.com/,877-872-6728,0
TT,"Tiger Airways Australia",,"61 7 3295 2104",0
TU,Tunisair,http://www.tunisair.com/site/publish/content/,"514 819 0495",0
TV,"Tibet Airlines",,,0
TW,"Tway Airlines",,,0
TX,"Air Caraïbes",,877.772-1005,0
TY,"Air Caledonie",,,0
TZ,Tsaradia,,,0
U1,Aviabus,,,0
U2,easyJet,https://www.easyjet.com/us,"44 (0) 330 551",0
U3,Avies,,,0
U4,"Buddha Air",,,0
U5,"United Nigeria",,,0
U6,"Ural Airlines",,,0
U7,"Northern Dene Airways",,,0
U8,"TUS Airways",,,0
U9,"Tatarstan Airlines",,,0
UA,"United Airlines",https://www.united.com/en/ca/,800-864-8331,1
UB,"Myanmar National Airlines",,,0
UC,"LATAM Cargo Chile",,,0
UD,"UR Airlines",,,0
UE,Nasair,,,0
UF,"UM Airlines",,,0
UG,"TunisAir Express",,,0
UH,"AtlasGlobal Ukraine",,,0
UI,"Auric Air",,,0
UJ,"AlMasria Universal Airlines",,,0
UK,"Air Vistara",,,0
UL,"SriLankan Airlines",https://www.srilankan.com/en_uk/ca,416-227-9000,0
UM,"Air Zimbabwe",,800-742-3006,0
UN,"Transaero Airlines",,,0
UO,"Hong Kong Express Airways",,,0
UP,Bahamasair,https://www.bahamasair.com/,800-222-4262,0
UQ,"Urumqi Airlines",,,0
UR,"Uganda Airlines",,,0
US,"US Airways",https://www.aa.com,1-800-943-5436,0
UT,UTair,,,0
UU,"Air Austral",,,0
UV,"Universal Airways",,,0
UW,"Uni-Top Airlines",,,0
UX,"Air Europa",https://www.aireuropa.com/us/en/home,844-415-3955,0
UY,"Sky Prime Charter",,,0
UZ,"El-Buraq Air Transport",,,0
V0,Conviasa,,,0
V2,"Vision Airlines",,,0
V3,Carpatair,,,0
V4,"Vieques Air Link",,,0
V5,"Aerovías DAP",,,0
V6,"VIP Ecuador",,,0
V7,Volotea,,"011 34 931 22",0
V8,"ATRAN Cargo Airlines",,,0
V9,"Star1 Airlines",,,0
VA,"Virgin Australia Airlines",https://www.virginaustralia.com/us/en/#/,855-253-8021,0
VB,VivaAerobus,https://web.vivaaerobus.com/en,866-359-8482,0
VC,"Via Air",,,0
VD,"Air Libert",,,0
VE,VE,,,0
VF,Valuair,,,0
VG,"VLM Airlines",,,0
VH,"Viva Air",https://www.vivaair.com/co/en,855-652-0600,0
VI,"Volga-Dnepr Airlines",,,0
VJ,"VietJet Air",,,0
VK,"LEVEL EUROPE",,,0
VL,"Med-View Airline",,,0
VM,"Max Air",,,0
VN,"Vietnam Airlines",https://www.vietnamairlines.com/ca/en/Home,"778 379 2001",0
VO,"Voyage Air",,,0
VP,"Villa Air",,,0
VQ,Novoair,,,0
VR,"Cabo Verde Airlines",,,0
VS,"Virgin Atlantic Airways",https://www.virginatlantic.com/,800-862-8621,0
VT,"Air Tahiti",,,0
VU,"Vietravel Airlines",,,0
VV,"Viva Air",https://www.vivaair.com/us/en,855-652-0600,0
VW,Aeromar,https://www.aeromar.mx/en/home/,"844 237-6629",0
VX,"Virgin America",https://www.virginamerica.com/,,0
VY,Vueling,http://www.vueling.com/en,34931518158,0
VZ,"Thai Vietjet",,,0
W1,"World Experience Airline",,,0
W2,Flexflight,,,0
W3,"Arik Air",http://www.arikair.com,,0
W4,"Ulendo Airlink",,,0
W5,"Mahan Air",,,0
W6,"Wizz Air",,,0
W7,"Wings of Lebanon",,,0
W8,"Cargojet Airways",,,0
W9,"Wizz Air UK",,,0
WA,"KLM Cityhopper",,,0
WB,"Rwandair Express",http://rwandair.com,"44 01293 874 9",0
WC,"Avianca Honduras",,,0
WD,"Amsterdam Airlines",,,0
WE,"Thai Smile",,,0
WF,Widerøe,,"47 81001200",0
WG,Sunwing,https://www.sunwing.ca/en/,877-786-9464,0
WH,"WDL Aviation",,,0
WI,"White Airways",,,0
WJ,"JetSMART Argentina",,1.800.563.3042,0
WK,"Edelweiss Air",,,0
WL,"World Atlantic Airlines",,,0
WM,"Windward Islands Airways",,"(866) 466-0410",0
WN,"Southwest Airline",https://www.southwest.com/,800-435-9792,1
WO,Swoop,https://www.flyswoop.com/,587-441-1001,0
WP,"Air Antwerp",https://www.islandair.com/,,0
WQ,Swiftair,,,0
WR,"WestJet Encore",,1-888-937-8538,0
WS,WestJet,https://www.westjet.com/en-ca,888-937-8538,0
WT,SwiftAir,,,0
WU,"Jetways Airlines Limited",,,0
WV,"Westair Aviation",,800-626-4242,0
WW,"WOW air",https://fr.wowair.ca/,,0
WX,CityJet,,,0
WY,"Oman Air",https://www.omanair.com/ca/en,437-888-3160,0
WZ,"Red Wings",,,0
X1,"Hahn Air Technologies",https://www.hahnair.com,"49 6103 7331",0
X2,"China Xinhua",,,0
X3,"TUI fly Deutschland",,"0180 6000 120",0
X4,"Air Excursions",,,0
X5,"Air Europa express",,,0
X7,"Challenge Airlines",,,0
X8,Airmax,,,0
X9,"Avion Express",,,0
XA,ARINC,,,0
XB,"NEXT Brasil",,,0
XC,Corendon,,,0
XD,"Airlines Reporting Crp",,,0
XE,JetSuiteX,,,0
XF,"Vladivostok Air",,,0
XG,SunExpress,,,0
XJ,"Thai AirAsia X",,,0
XK,"Air Corsica",,,0
XL,"LATAM Ecuador",https://www.latamairlines.com/ca/en,888-235-9826,0
XM,"Alitalia Express",,,0
XN,Xpressair,,,0
XO,"LTE International Airways",,,0
XP,Avelo,https://www.aveloair.com/,346-616-9500,0
XQ,SunExpress,,,0
XR,"Corendon Airlines Europe",,,0
XT,"Indonesia AirAsia X",,,0
XU,"African Express",,,0
XV,"BVI Airways",,,0
XW,NokScoot,,,0
XX,Greenfly,,,0
XY,flynas,,,0
XZ,"Congo Express",,1-800-722-9675,0
Y0,"Yellow Airtaxi",,,0
Y1,"Yellowstone Club Private Shuttle",,,0
Y2,AirCentury,,,0
Y3,"Sky Kg",,,0
Y4,Volaris,https://www.volaris.com/,855-8652747,0
Y5,"Golden Myanmar Airlines",,,0
Y6,"AB Aviation",,,0
Y7,"NordStar Airlines",,,0
Y8,"Suparna Airlines",,,0
Y9,Lynx,http://flylynx.com/,,0
YB,"Harbour Air (Priv)",,,0
YC,"Yamal Air",,,0
YD,Gomelavia,,,0
YE,"Yan Air",,,0
YG,"YTO Cargo",,,0
YH,"Air Thanlwin",,,0
YI,"Yunnan Ying’An Airlines",,,0
YJ,"Asian Wings Air",,,0
YK,"Avia Traffic Airline",,,0
YL,"Libyan Wings",,,0
YM,"Montenegro Airlines",,,0
YN,"Air Creebec",https://www.aircreebec.ca/,800-567-6567,0
YO,"TransHolding System",,,0
YP,"Air Premia",,,0
YQ,"TAR Aerolineas",,,0
YR,"SENIC AIRLINES",,,0
YS,Régional,,,0
YT,"Yeti Airways",,,0
YU,"EuroAtlantic Airways",,,0
YV,"Mesa Airlines",,800-637-2247,0
YW,"Air Nostrum",,,0
YX,"Republic Airlines",,,0
YY,Virginwings,,,0
YZ,"Alas Uruguay",,,0
Z0,"Norse Atlantic UK",https://flynorse.com,,0
Z2,"Philippines AirAsia",,,0
Z3,"Avient Aviation",,,0
Z4,"Ibom Air",,,0
Z5,"Global Africa Aviation",,,0
Z6,Dniproavia,,,0
Z7,"Amaszonas Uruguay",,,0
Z8,Amaszonas,,,0
Z9,"Bek Air",,,0
ZA,"Sky Angkor Airlines",,,0
ZB,"Air Albania",,,0
ZC,"Korongo Airlines",,,0
ZD,"EWA Air",,,0
ZE,"Eastar Jet",,,0
ZF,"Azur Air",,,0
ZG,ZIPAIR,,,0
ZH,"Shenzhen Airlines",http://global.shenzhenair.com/zh/main.jsp,1-647-525-5820,0
ZI,"Aigle Azur",,,0
ZJ,"Zambezi Airlines (ZMA)",,,0
ZK,"Great Lakes Airlines",,1-800-554-5111,0
ZL,"Regional Express",,,0
ZM,"Air Manas",,,0
ZN,"Zenith International Airline",,,0
ZO,"Zagros Airlines",,,0
ZP,Paranair,,,0
ZQ,"German Airways",,,0
ZR,"Aviacon Zitotrans",,,0
ZS,"Sama Airlines",,,0
ZT,"Titan Airways",,,0
ZU,"Ethiopian Mozambique Airlines",,,0
ZV,"V Air",,,0
ZW,"Air Wisconsin",,,0
ZX,"Japan Regio",,,0
ZY,"Ada Air",,,0
ZZ,Zz,,,0
